Title,Release Year,End Year,Rating,Cast,Runtime,Genre,Rating2,Runtime2
The White Lotus,2021.0,2023.0,7.9,"Jennifer Coolidge, Jon Gries, F. Murray Abraham, Adam DiMarco",60 min,"Comedy, Drama",7.9,60
1923,2022.0,2023.0,8.6,"Harrison Ford, Helen Mirren, Brandon Sklenar, Darren Mann",60 min,"Drama, Western",8.6,60
The Walking Dead,2010.0,2022.0,8.1,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",44 min,"Drama, Horror, Thriller",8.1,44
Game of Thrones,2011.0,2019.0,9.2,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",57 min,"Action, Adventure, Drama",9.2,57
His Dark Materials,2019.0,2022.0,7.8,"Dafne Keen, Kit Connor, Ruth Wilson, Amir Wilson",60 min,"Adventure, Drama, Family",7.8,60
Happy Valley,2014.0,2023.0,8.5,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton",58 min,"Crime, Drama, Thriller",8.5,58
Breaking Bad,2008.0,2013.0,9.5,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",49 min,"Crime, Drama, Thriller",9.5,49
Better Call Saul,2015.0,2022.0,8.9,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",46 min,"Crime, Drama",8.9,46
The Office,2005.0,2013.0,9,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",22 min,Comedy,9.0,22
Hunters,2020.0,2023.0,7.2,"Al Pacino, Logan Lerman, Lena Olin, Jerrika Hinton",60 min,"Crime, Drama, Mystery",7.2,60
The Twilight Zone,1959.0,1964.0,9.1,"Rod Serling, Robert McCord, Jay Overholts, James Turley",51 min,"Drama, Fantasy, Horror",9.1,51
The Sopranos,1999.0,2007.0,9.2,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",55 min,"Crime, Drama",9.2,55
The West Wing,1999.0,2006.0,8.9,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer",44 min,Drama,8.9,44
Rise of Empires: Ottoman,2020.0,2022.0,7.9,"Cem Yigit Uzümoglu, Tuba Büyüküstün, Alp Ilkman, Ushan Çakir",44 min,"Documentary, Drama, History",7.9,44
Peaky Blinders,2013.0,2022.0,8.8,"Cillian Murphy, Paul Anderson, Sophie Rundle, Helen McCrory",60 min,"Crime, Drama",8.8,60
Supernatural,2005.0,2020.0,8.4,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",44 min,"Drama, Fantasy, Horror",8.4,44
Friends,1994.0,2004.0,8.9,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",22 min,"Comedy, Romance",8.9,22
The Big Bang Theory,2007.0,2019.0,8.2,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",22 min,"Comedy, Romance",8.2,22
Las Vegas,2003.0,2008.0,7.4,"Josh Duhamel, James Caan, James Lesure, Vanessa Marcil",60 min,"Crime, Drama",7.4,60
Bones,2005.0,2017.0,7.8,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",40 min,"Comedy, Crime, Drama",7.8,40
Modern Family,2009.0,2020.0,8.5,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",22 min,"Comedy, Drama, Romance",8.5,22
Vikings,2013.0,2020.0,8.5,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",44 min,"Action, Adventure, Drama",8.5,44
True Detective,2014.0,2019.0,8.9,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",55 min,"Crime, Drama, Mystery",8.9,55
